,MATCHUP,PTS,FG%,3P%,FT%,OREB,DREB,AST,STL,BLK,TOV,PF
608,MIA @ CLE,4.0,-6.100000000000001,8.2,-3.700000000000003,3.0,-8.0,-5.0,4.0,2.0,-5.0,-10.0
609,CLE vs. MIA,-4.0,6.100000000000001,-8.2,3.700000000000003,-3.0,8.0,5.0,-4.0,-2.0,5.0,10.0
610,WAS @ SAC,-6.0,-2.0,6.0,-10.799999999999997,-5.0,-11.0,10.0,3.0,0.0,-5.0,3.0
611,SAC vs. WAS,6.0,2.0,-6.0,10.799999999999997,5.0,11.0,-10.0,-3.0,0.0,5.0,-3.0
612,UTA @ HOU,-38.0,-17.200000000000003,-29.8,4.700000000000003,1.0,-13.0,-10.0,2.0,-8.0,0.0,3.0
613,HOU vs. UTA,38.0,17.200000000000003,29.8,-4.700000000000003,-1.0,13.0,10.0,-2.0,8.0,0.0,-3.0
614,ATL @ CHA,14.0,10.600000000000001,2.200000000000003,-1.7999999999999972,0.0,9.0,5.0,-1.0,2.0,7.0,5.0
615,CHA vs. ATL,-14.0,-10.600000000000001,-2.200000000000003,1.7999999999999972,0.0,-9.0,-5.0,1.0,-2.0,-7.0,-5.0
616,OKC @ CHI,14.0,6.0,16.0,-8.900000000000006,-4.0,8.0,-2.0,-1.0,-1.0,5.0,12.0
617,CHA vs. ATL,-14.0,-6.0,-16.0,8.900000000000006,4.0,-8.0,2.0,1.0,1.0,-5.0,-12.0
618,ATL @ CHA,12.0,11.399999999999999,15.500000000000004,14.700000000000003,-3.0,8.0,6.0,-4.0,5.0,8.0,5.0
619,CHI vs. OKC,-12.0,-11.399999999999999,-15.500000000000004,-14.700000000000003,3.0,-8.0,-6.0,4.0,-5.0,-8.0,-5.0
620,OKC @ CHI,12.0,6.799999999999997,29.3,7.599999999999994,-7.0,7.0,-1.0,-4.0,2.0,6.0,12.0
621,CHI vs. OKC,-12.0,-6.799999999999997,-29.3,-7.599999999999994,7.0,-7.0,1.0,4.0,-2.0,-6.0,-12.0
622,PHX @ BKN,-13.0,-12.300000000000004,-15.599999999999998,-9.399999999999999,6.0,-2.0,-5.0,-3.0,-1.0,0.0,0.0
